"No.","Time","Source","Destination","Protocol","Length","Info"
"1016880","6460.157195","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"1016881","6460.157458","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"1017425","6462.600950","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"1017427","6462.604675","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"1017429","6462.605708","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"1017430","6462.605712","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"1017869","6464.578361","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"1017870","6464.582107","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"1017872","6464.582684","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"1017873","6464.582687","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"1017926","6464.812086","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"1017927","6464.812376","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"1017928","6464.815879","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"1017929","6464.816162","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"1017960","6464.965851","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"1017961","6464.969674","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"1017966","6464.977752","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"1017967","6464.977763","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"1018492","6467.394479","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 6%"
"1018497","6467.402775","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"1018514","6467.464479","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 6%"
"1018532","6467.552056","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 12%"
"1018534","6467.555803","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
